Name,Title,Price,Availability,Description,Size,Dispatch
Harry Kane,Harry Kane Official FIFA World Cup Back Signed and Framed England 2022 Home Shirt,"£1,599.99",Out of stock,"This England shirt was personally signed by Harry Kane during a private signing session. The shirt comes with an official FIFA World Cup Certificate of Authenticity, which serves as your proof that the signature is 100% genuine. Buy yours while stocks last to own this special piece of authentic sports memorabilia. Capture the spirit of the FIFA World Cup with this officially licensed product, exclusive to Icons.com.",Approximate size: 885mm (H) x 780mm (W) x 30mm (D),Dispatch time: Usually dispatched within 8-10 working days
Harry Kane,Harry Kane Official FIFA World Cup Back Signed and Hero Framed England 2022 Home Shirt,"£1,699.99",Out of stock,"This England shirt was personally signed by Harry Kane during a private signing session. The shirt comes with an official FIFA World Cup Certificate of Authenticity, which serves as your proof that the signature is 100% genuine. Buy yours while stocks last to own this special piece of authentic sports memorabilia. Capture the spirit of the FIFA World Cup with this officially licensed product, exclusive to Icons.com.",Approximate size: 1030mm (W) x 745mm (H) x 33mm (D),Dispatch time: Usually dispatched within 8-10 working days
Harry Kane,Harry Kane Official UEFA EURO 2024 Back Signed and Framed England 2022 Home Shirt,"£1,199.99",Out of stock,"This England shirt was personally signed by Harry Kane during a private signing session. The shirt comes with an official UEFA EURO 2024 Certificate of Authenticity, which serves as your proof that the signature is 100% genuine. Buy yours while stocks last to own this special piece of authentic sports memorabilia.",Approximate size: 865mm (H) x 622mm (W) x 25mm (D),Dispatch time: Usually dispatched within 8-10 working days
Harry Kane,Harry Kane Official UEFA EURO 2024 Back Signed and Hero Framed England 2022 Home Shirt,"£1,299.99",Out of stock,"This England shirt was personally signed by Harry Kane during a private signing session. The shirt comes with an official UEFA EURO 2024 Certificate of Authenticity, which serves as your proof that the signature is 100% genuine. Buy yours while stocks last to own this special piece of authentic sports memorabilia.",,
Harry Kane,"Harry Kane Front Signed and Framed Tottenham Hotspur 2022-23 Home Shirt: ""All Time Leading Goalscorer"" Edition","£1,249.99",In stock,"This Tottenham Hotspur shirt was personally signed by Harry Kane during a private signing session. The shirt comes with an official Icons.com Certificate of Authenticity, which serves as your proof that the signature is 100% genuine. Buy yours while stocks last to own this special piece of authentic sports memorabilia.",,
Shinji Kagawa,Shinji Kagawa Signed Japan Photo: Blue Samurai,£55.99,Out of stock,"This superb photo was personally signed by one of Japan's greatest ever footballers, Shinji Kagawa, during a private signing session in Manchester on November 23rd, 2013. The photo comes with an official Icons.com Certificate of Authenticity, which details when and where the photo was signed as well as showing photographic evidence of Kagawa signing the item. A legend of the game in Asia, Kagawa is rightly revered for his stupendous vision and creativity, skills that earned him moves to some of European football's biggest clubs.",,
Shinji Kagawa,Shinji Kagawa Signed Japan Photo In Black Wooden Frame: Blue Samurai,£90.99,Out of stock,"This superb photo was personally signed by one of Japan's greatest ever footballers, Shinji Kagawa, during a private signing session in Manchester on November 23rd, 2013. The photo comes with an official Icons.com Certificate of Authenticity, which details when and where the photo was signed as well as showing photographic evidence of Kagawa signing the item. A legend of the game in Asia, Kagawa is rightly revered for his stupendous vision and creativity, skills that earned him moves to some of European football's biggest clubs.",Approximate size: 570mm (W) x 470mm (H) x 30mm (D),Dispatch time: Usually dispatched within 3-4 working days
Diogo Jota,Virgil van Dijk & Diogo Jota Signed Liverpool FC Shirts In Official UEFA Champions League Dual Frame,"£1,999.99",Out of stock,"This stunning 120cm x 90cm frame displays two signed Liverpool FC shirts side by side: one signed by Virgil van Dijk and the other by Diogo Jota. Every frame comes with an official UEFA Champions League Certificate of Authenticity for each shirt which gives details, where available, of the date and/or location at which the items were autographed. A spectacular homage to two great icons, this official UEFA Champions League Dual Frame is not to be missed!",Approximate size: 1000mm (H) x 1200mm (W) x 16mm (D),Dispatch time: Fast dispatch in 3-4 working days sent via DHL Express
Diogo Jota,Diogo Jota Official UEFA Champions League Signed and Framed Liverpool FC 2020-21 Home Shirt With Fan Style Numbers,£599.99,Out of stock,"This Liverpool FC shirt was personally signed by Diogo Jota during a private signing session. The shirt comes with an official UEFA Champions League Certificate of Authenticity, which serves as your proof that the signature is 100% genuine. Buy yours while stocks last to own this special piece of authentic memorabilia displayed in our stunning official UCL frame, capturing the spirit of football's premier club competition.",Approximate size: 875mm (H) x 785mm (W) x 38mm (D),Dispatch time: Fast dispatch in 3-4 working days sent via DHL Express
Diogo Jota,Diogo Jota Official UEFA Champions League Signed and Hero Framed Liverpool FC 2020-21 Home Shirt With Fan Style Numbers,£649.99,Out of stock,"This Liverpool FC shirt was personally signed by Diogo Jota during a private signing session. The shirt comes with an official UEFA Champions League Certificate of Authenticity, which serves as your proof that the signature is 100% genuine. Buy yours while stocks last to own this special piece of authentic memorabilia displayed in our stunning official UCL frame, capturing the spirit of football's premier club competition.",Approximate size: 920mm (H) x 1120mm (W) x 20mm (D),Dispatch time: Fast dispatch in 3-4 working days sent via DHL Express
